path,changed,converted_blocks,skipped_blocks,incomplete_blocks,unsafe_blocks,already_pyodide_blocks,warnings
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/a-ais/3-bodeplot-lf/index.qmd,True,3,2,0,2,0,Line 56: skipped block requiring notebook magic. | Line 123: skipped block requiring notebook magic.
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/a-ais/4-filter/index.qmd,True,5,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/a-ais/4-filter-lf/index.qmd,True,5,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/a-elektro/index.qmd,True,1,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/a-elektro-del2/index.qmd,True,4,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/a-elektro-lf/index.qmd,True,12,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/b-1/index.qmd,True,7,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/b-1-del2/index.qmd,True,1,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/b-1-lf/index.qmd,True,9,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/b2-forny-skip-hav/index.qmd,True,5,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/b2-forny-skip-hav-del2/index.qmd,True,1,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/b2-forny-skip-hav-lf/index.qmd,True,10,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/c-bygg/index.qmd,True,5,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/c-bygg-del2/index.qmd,True,2,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/c-bygg-lf/index.qmd,True,11,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/d-data/index.qmd,True,5,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/d-data-del2/index.qmd,True,1,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/d-data-lf/index.qmd,True,5,1,0,1,0,"Line 25: skipped block requiring local filesystem, notebook magic."
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/d-logistikk/index.qmd,True,3,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/d-logistikk-del2/index.qmd,True,1,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/d-logistikk-lf/index.qmd,True,8,0,1,0,0,
